PDF;file;title;author1;pseudonyme1;pseudonyme2;date;GALLICA;DigitalSource-1;DigitalSource-2;GOOGLE/INTERNET ARCHIVE;DigitalSource-3;refsource;Wikipedia
1;FRA03002_Ohnet.xml;L'Âme de Pierre;Georges Ohnet;Georges Ohnet;;1890;https://gallica.bnf.fr/ark:/12148/bpt6k68750m;https://gallica.bnf.fr/ark:/12148/bpt6k68750m;;;;firstEdition;https://fr.wikipedia.org/wiki/Georges Ohnet
1;FRA03003_Ohnet.xml;Le Marchand de Poison;Georges Ohnet;Georges Ohnet;;1894;;https://www.gutenberg.org/cache/epub/18073/pg18073.txt;https://www.gutenberg.org/cache/epub/18073/pg18073.txt;https://archive.org/details/marchanddepoison00ohne/page/n1/mode/2up?q=le+marchand+de+poison+ohnet;;manuel (project Gutenberg);https://fr.wikipedia.org/wiki/Georges Ohnet
1;FRA03101_Ponson.xml;La baronne trépassée;Pierre Alexis Ponson du Terrail ;Ponson du Terrail, Pierre Alexis;;1852;https://gallica.bnf.fr/ark:/12148/bpt6k5612874d;https://gallica.bnf.fr/ark:/12148/bpt6k5612874d;;;;printSource;https://fr.wikipedia.org/wiki/Pierre_Alexis_de_Ponson_du_Terrail
1;FRA03201_Blandy.xml;Rouzétou;Stella Blandy;Stella Blandy;;1887;https://gallica.bnf.fr/ark:/12148/bpt6k1656064;https://gallica.bnf.fr/ark:/12148/bpt6k1656064;;;;firstEdition;https://fr.wikipedia.org/wiki/Stella Blandy
1;FRA03302_Rattazzi.xml;Le piège aux maris;Marie Rattazzi ;Rattazzi, Marie (Marie-Lætitia Bonaparte-Wyse);;1865;https://gallica.bnf.fr/ark:/12148/bpt6k6456888h;https://ebooks-bnr.com/bonaparte-wyse-marie-laetitia-de-solms-le-piege-aux-maris-tome-1;https://ebooks-bnr.com/bonaparte-wyse-marie-laetitia-de-solms-le-piege-aux-maris-tome-1;;;digitalSource;https://fr.wikipedia.org/wiki/Marie-L%C3%A6titia_Bonaparte-Wyse
1;FRA03401_Reybaud.xml;Mademoiselle de Malepeire;Mme Charles Reybaud;Mme Charles Reybaud;;1855;;https://ebooks-bnr.com/reybaud-fanny-mademoiselle-de-malepeire/;https://ebooks-bnr.com/reybaud-fanny-mademoiselle-de-malepeire/;https://archive.org/details/mademoiselledem01reybgoog/page/n10/mode/2up;;digitalSource;https://fr.wikipedia.org/wiki/Fanny_Reybaud
1;FRA03601_Proust.xml;Du côté de chez Swann;Marcel Proust ;Proust Marcel;;1913;https://gallica.bnf.fr/ark:/12148/bpt6k5675144f;http://beq.ebooksgratuits.com;http://beq.ebooksgratuits.com/auteurs/Proust/xProust-01.pdf;;;digitalSource;https://fr.wikipedia.org/wiki/Marcel_Proust
1;FRA03701_Sand.xml;Nanon ;George Sand ;Sand Georges;;1872;https://gallica.bnf.fr/ark:/12148/bpt6k133656k;http://beq.ebooksgratuits.com;http://beq.ebooksgratuits.com/vents-xpdf/Sand-Nanon.pdf;;;digitalSource;https://fr.wikipedia.org/wiki/George Sand 
1;FRA03702_Sand.xml;Le dernier amour;George Sand ;Sand Georges;;1866;https://gallica.bnf.fr/ark:/12148/bpt6k5526590r;http://beq.ebooksgratuits.com;http://beq.ebooksgratuits.com/vents-xpdf/Sand-dernier_amour.pdf;;;digitalSource;https://fr.wikipedia.org/wiki/George Sand 
1;FRA03704_Sand.xml;Horace;Sand George ;Sand Georges;;1840;https://gallica.bnf.fr/ark:/12148/bpt6k2068028;http://beq.ebooksgratuits.com;http://beq.ebooksgratuits.com/vents-xpdf/Sand-Horace.pdf;;;;https://fr.wikipedia.org/wiki/George Sand 
